magnitudes	PMG_SW_5
NODE_B125_length_1370_cov_10.313225_S7	1616
NODE_B698_length_768_cov_65.464544_S7	1058
NODE_C26_length_765_cov_9.020349_S7	1079
NODE_A3025_length_649_cov_3.657343_S7	451
NODE_A5393_length_537_cov_6.343478_S7	525
NODE_A6237_length_516_cov_3.036446_S7	1255
NODE_A14_length_5071_cov_28.907889_S9	5052
NODE_A96_length_2876_cov_13.640586_S9	2516
NODE_A198_length_2282_cov_26.738322_S9	3456
NODE_A1503_length_1018_cov_8.997875_S9	967
NODE_A2951_length_748_cov_41.186289_S9	937
NODE_C23_length_602_cov_674.215238_S9	1019253
NODE_A4885_length_583_cov_6.120553_S9	1666
NODE_B362_length_566_cov_10.361963_S9	878
