NODE	Virus	Class	Order 	Family
NODE_A491_length_757_cov_3.905882_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A26_length_2385_cov_9.493501_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A49_length_1747_cov_10.321557_S4	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2053_length_507_cov_2.223256_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A27_length_6077_cov_30.899833_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A300_length_3735_cov_6.335429_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A49_length_2969_cov_8.265214_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B12_length_6656_cov_72.437301_S32	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1693_length_530_cov_4.379691_S34	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A135_length_4880_cov_14.822819_S7	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A71_length_2315_cov_3791.689902_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8839_length_677_cov_3.793333_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1747_length_624_cov_2.526508_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A27_length_2371_cov_6.091107_S41	phage	Caudoviricetes	Unclassified	Schitoviridae
NODE_A36_length_3477_cov_9.769706_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B4_length_6468_cov_13.764669_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A326_length_904_cov_22.374849_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A856_length_2393_cov_13.840242_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A322_length_904_cov_5.199516_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A5_length_18546_cov_100.977313_S20	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A122_length_1433_cov_3.813422_S23	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A31_length_3841_cov_13.067216_S9	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1866_length_1719_cov_7.136419_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1434_length_652_cov_2.526957_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A216_length_4363_cov_21.168455_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A134_length_1793_cov_9.230769_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2877_length_1418_cov_10.551081_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A142_length_3441_cov_30.547265_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A607_length_2436_cov_20.602798_S7	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A858_length_1835_cov_47.471559_S7	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A15_length_7622_cov_45.655799_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A905_length_578_cov_2.463074_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A40_length_2110_cov_9.075750_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A248_length_983_cov_3.493377_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_B1_length_19281_cov_194.391898_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1299_length_567_cov_5.514286_S34	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8225_length_847_cov_6.362338_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A88_length_2499_cov_58.820809_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A10_length_2973_cov_13.436464_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A33_length_2458_cov_14.196136_S24	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A142_length_1645_cov_12.062500_S36	phage	Unclassified	Unclassified	Unclassified
